otu_ID	BBRP1	ERRP1	FGC1	FGREM1	FGRP1	FLC1	FLC2	FLREM1	FLRP1	FLRP4	FLRP5	FLRSP1	FLRSP2	FLRSP3	KORP1	LPC1	LPREM1	LPRP1	LPRP2	MBREM1	MBRP1	MHRP1	MHRP2	PHC1	PHRP1
a967c9fd2dee4876c959167ef691e63c	0	0	294	0	0	6	930	0	0	0	0	0	0	0	0	86	0	0	12	0	0	0	0	85	0
57437b1275fc1f83d37f693788c54229	0	90	0	0	147	0	0	98	0	0	0	0	0	0	26	49	99	0	52	0	314	291	270	13	0
22674d53f20b0b70bd9f5486f7f60697	0	0	0	0	0	10	2476	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0
32b1888516bfdc3819374f1fc951889e	35	13	0	22	14	12	148	38	13	3	27	16	23	0	19	0	359	484	42	0	0	209	19	0	7
12d0f9c7a825be4eff5ea29fe1d8bb1c	29	10	382	157	44	66	37	42	43	27	65	0	0	46	9	438	28	48	39	0	29	70	137	571	51
a9c8cf3d006c2910de635126e53e148d	0	976	0	0	30	0	0	26	4	0	0	12	0	0	0	0	0	0	0	0	0	82	0	0	0
9265f06a3152925e254f443d6b0f0636	0	29	0	0	47	38	0	58	228	25	87	0	0	0	0	516	0	0	0	0	0	172	251	287	710
f828480e27adb99df68b8915e059870c	1505	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	843	129	0	30	0	0
bac52c868e388432231dad7fdc96e705	556	0	0	135	0	0	0	194	257	244	39	0	0	0	238	8	0	0	0	186	0	0	0	0	0
34d1724d86abb5f79e61e137bcc90194	8	0	0	0	0	74	0	92	10	390	233	118	11	19	70	0	0	0	9	2	0	5	15	0	0
a9efcf7c14a3a7ea509f3d673cadffe1	0	0	0	377	388	0	0	0	0	0	55	0	0	0	209	0	0	0	0	0	0	0	8	0	249
e7b2a6ab746177d50fec392d92199d86	0	13	14	238	28	3	0	4	0	0	0	0	0	0	19	0	0	0	0	0	0	114	171	22	105
6240145e4e1f6e0a9ae2f546244d7f71	0	0	0	1061	0	0	0	0	0	0	64	6	0	0	338	0	0	0	96	0	0	0	0	0	36
5ca01b9b9f0bd1b03f1a7a6b4ece2241	181	0	0	0	0	0	0	113	4	74	44	50	391	159	145	0	45	0	0	0	49	0	0	0	11
5a09b75699b2224b3c13f44ade2dd158	0	0	24	584	7	0	77	30	391	224	12	0	0	0	0	0	0	0	0	0	21	0	0	0	0
4b0ee396bf523c4e03fa8066d5eeb7c3	0	0	160	0	18	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c7c2a3d8c977b70e837c661e58d815d6	177	8	0	0	0	89	0	359	39	0	0	140	17	35	0	0	0	0	0	0	0	7	0	0	0
b3775f39419d3aad768b1d51b5ccbe2a	42	0	0	0	0	0	0	0	78	122	42	0	99	112	90	0	22	0	0	36	0	0	0	0	0
5f338f0f05339ee0f87410250babe2c3	0	0	0	0	281	52	0	84	0	0	0	0	0	0	0	27	0	28	0	0	0	32	29	0	0
eac18199c53aa01e7fe7e940900207a6	0	7	15	89	149	20	0	0	159	26	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
a71a96c90f3cba9d6e73c14799d30e05	96	0	0	12	0	0	0	0	10	111	0	0	23	50	0	0	160	0	154	254	175	0	11	0	0
6767a5b097389223e7e3d8eacc7c9c12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888	3	0	0	0	0
dfd53448f81f23769e110f8d82e671f6	73	0	0	0	0	0	0	0	0	217	0	54	130	243	0	0	0	0	55	0	84	0	0	0	0
0b7958c5b182fae5e0cc9df7120b0982	0	0	0	90	0	0	0	17	403	13	10	0	0	0	0	0	0	0	0	0	75	0	0	0	0
d048c8e92236a39c54b0d17f3fd4de87	0	0	0	0	0	9	0	0	0	0	0	92	0	0	0	0	0	0	156	0	0	0	0	0	0
526e8b36d15995fadb620f1af1e9d3a2	12	0	0	0	0	699	0	0	0	0	0	0	13	0	0	0	0	8	29	0	0	5	0	0	0
0f2987e222b120bc729dbb0b3691642d	0	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1c30b29ba78048dbd12c10c32dec28a5	115	0	0	40	0	0	0	33	48	29	4	0	0	0	42	0	0	0	0	13	0	0	0	0	0
ba8591e93f3d4f7ad04d0710d021cb0a	388	0	0	0	0	0	0	0	0	0	0	0	58	5	44	0	0	0	0	0	0	0	0	0	0
c1c6182be14bf9a4c95a3aebcdd3d78d	135	0	0	0	0	0	0	145	169	165	34	0	0	0	41	11	0	0	0	346	0	0	0	0	0
0821d4d0bbb899b071e8ec0498bf86b9	0	0	0	5	0	0	0	0	0	6	0	390	0	107	0	0	0	0	0	0	0	0	0	0	0
97378037372343341a2bee79ce55bb75	0	0	0	0	0	0	0	0	32	82	166	0	0	0	0	0	11	0	0	0	0	43	0	0	0
2f630db47c452a18eb480206bdf9f2bb	0	0	394	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ea10c65ee26bce92726facb7b0a6ea47	42	0	0	0	0	0	0	0	0	57	0	0	0	21	0	0	67	0	52	92	68	0	14	0	0
4c2e509a1cf08962b28c3ce5578eebea	0	0	0	40	0	0	0	0	274	171	0	0	0	0	0	0	0	0	0	0	0	8	0	0	3
a13a2e299ffe54995287ecfa68b5c32f	28	0	0	7	0	0	0	0	10	30	0	0	8	25	0	0	60	0	34	97	53	0	0	0	0
09acae69b7bae5a86276acc2281250ff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0
9b0b928a4eeca97284d983cd2ff2ff37	28	3	0	0	0	0	15	14	0	13	12	10	81	17	49	0	23	0	0	0	22	0	0	0	0
3da54ff2ce11106909d66d60c5991b36	0	0	0	12	0	0	0	0	36	43	104	0	0	0	0	0	11	0	0	0	0	0	0	0	0
5631da1f661c86ab203e82be06b1a957	0	164	0	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11	0	0	0
a80f4edc08e63f8edab2173fa430c72a	0	0	10	238	0	0	0	9	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a7b805211cefc561a19461b13a4d1480	16	85	0	0	0	0	0	1	0	0	2	5	0	17	0	0	0	0	0	0	0	0	0	0	12
7a7a89421895cd0c295232b41d690477	0	0	0	13	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
02442d57427159988b9c1f8932e8c3ea	0	19	0	0	0	11	0	0	0	0	0	24	0	0	0	0	0	17	0	48	254	0	46	9	116
a70a07eecf9558fb2b3daafa7ed8eb75	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0
c603446fcd07f3753f83fe2dbf86c2de	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0
3a1eee95d0b5323bf50d67fe68b00360	0	0	0	0	0	0	0	0	0	0	0	30	0	0	8	0	0	0	100	0	0	17	0	0	0
15720844479057271688cb5bb4bf2db7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	18	0
24018d088e92d6604e9377a7e375d594	0	0	0	0	0	0	0	81	126	36	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
197869ce750dd76de93bc4d498552460	0	44	0	0	0	0	0	0	0	0	31	0	27	0	0	0	8	63	0	0	9	0	0	5	0
304459d0d445e5e97000e5279f40fb61	0	0	0	0	0	0	0	0	0	0	0	5	0	47	0	0	64	0	0	0	0	0	0	0	0
806f32d567abba563e8d16b5cd748f0b	3	7	0	0	0	9	0	0	0	0	0	0	0	0	0	56	0	0	22	0	20	3	9	0	14
b5ae5796f1869784414643399fb68c04	10	0	0	0	0	6	0	0	0	0	16	0	0	0	0	0	0	0	109	0	0	0	0	0	9
8a79e6d22f7b1c30e7dfb05aa0d51eeb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0
9976ee86295ca4108d23354c9d13a59f	0	0	139	94	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0
9691157f2a061d7b5338478a7cce2f5e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0
ad167aa4faf19d14530477db46edb682	0	0	0	0	0	0	0	0	0	47	0	36	35	18	0	0	0	0	0	0	0	0	0	0	0
ada190c46ba14302579a9c55ddc54bb5	0	14	0	0	0	0	0	0	0	0	10	10	14	0	0	0	39	0	0	0	9	0	0	0	0
5829e4aa44843d8eb4667a58d80bc3ca	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	16	39	0
f0bbab98740c1818a1ec6f86b8643500	39	12	0	0	5	0	0	37	38	8	0	15	30	21	37	0	0	0	0	0	0	11	0	0	6
8073e594fb4717e0cc9db165b9eeb023	0	0	0	2	0	0	0	0	11	0	0	0	4	45	0	0	0	0	7	26	0	13	0	0	0
c943514b59575c269c5fba7e13915808	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0
b6cddd96f450a7bf3c4950c2f2a06b83	0	0	0	0	56	7	0	0	0	0	17	0	0	0	0	0	0	0	0	147	0	0	0	0	0
891209ae8cbbe5a8fc9b00658e0cf5e3	0	0	0	19	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ee1d45ab77c9e6a144ace2ea8fa7db4d	0	0	0	0	22	0	0	0	0	0	0	0	0	0	24	0	0	0	0	9	12	0	0	0	0
b45a529ff857d429e48e010c0fe02558	0	0	0	0	0	26	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77e1550b520cda41de3537566ecbbb7b	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0
e0d232e365520706d082838cabf68e1f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
c0fe075c838635c40bfd2f65280ad177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	47	0	0	0	0
50ca642f13169240a16a7c81051da891	2	7	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	0	37	0	0	0	1	0	0
3842fe10d4b7f681d15b3dd699c9b199	0	0	23	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
