field_key,otu_num,seq_abund,otu_ID,phylum,class,order,family,genus,species,primary_lifestyle,field_name,region,field_type,yr_since
21,otu_602,9,5993ff3ad07c8dc36a85641f3fa10b6d,Basidiomycota,Agaricomycetes,Tremellodendropsidales,unidentified,unidentified,unidentified,NA,MBRP1,BM,restored,18
21,otu_603,9,c8b5e59dbfc6064763abd2e61b9942e6,Ascomycota,Eurotiomycetes,Onygenales,Onygenales_fam_Incertae_sedis,Chrysosporium,Chrysosporium_pseudomerdarium,NA,MBRP1,BM,restored,18
21,otu_605,27,6fd0f9d6e86c434fa707fa329469f2e1,Ascomycota,Dothideomycetes,NA,NA,NA,NA,NA,MBRP1,BM,restored,18
21,otu_607,39,fcf701bec0b37d26eaca01060609c805,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudopithomyces,NA,plant_pathogen,MBRP1,BM,restored,18
21,otu_608,3,0f1ccab15487b71a56c0770752d0c4ed,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Paracylindrocarpon,Paracylindrocarpon_aloicola,litter_saprotroph,MBRP1,BM,restored,18
21,otu_611,9,e9f0fb57b49136af69ba0490512d3cb8,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,NA,MBRP1,BM,restored,18
21,otu_614,83,b67f6e442596dd86f3526a07d3df235b,Ascomycota,NA,NA,NA,NA,NA,NA,MBRP1,BM,restored,18
21,otu_616,30,07c4d2c0b2fc55b807e1493522e527a7,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Trichopezizella,unidentified,NA,MBRP1,BM,restored,18
21,otu_617,288,6e30e9f54f7f082bb0a373912ba16aa7,Basidiomycota,Agaricomycetes,Sebacinales,NA,NA,NA,NA,MBRP1,BM,restored,18
21,otu_624,3,6c6426d73b5ba71d61b5888011e28836,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,NA,MBRP1,BM,restored,18
21,otu_629,13,9a28aca6f162f3da3739733da700e06e,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Microscypha,unidentified,NA,MBRP1,BM,restored,18
21,otu_642,28,ed4d9641030902bd0059ea0846248ba2,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,NA,dung_saprotroph,MBRP1,BM,restored,18
21,otu_646,41,37b9a3ebf34ecd37958125acc5a4678d,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Didymocyrtis,Didymocyrtis_cladoniicola,lichen_parasite,MBRP1,BM,restored,18
