otu_num,phylum,class,order,family,genus,species,primary_lifestyle
otu_1800,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Flagelloscypha,Flagelloscypha_minutissima,NA
otu_1801,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Pseudosigmoidea,unidentified,soil_saprotroph
otu_1802,NA,NA,NA,NA,NA,NA,NA
otu_1803,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1804,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Arrhenia,NA,NA
otu_1805,Ascomycota,Dothideomycetes,NA,NA,NA,NA,NA
otu_1806,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,NA
otu_1807,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,unidentified,NA
otu_1808,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Arrhenia,NA,NA
otu_1809,NA,NA,NA,NA,NA,NA,NA
otu_1810,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,NA,NA,NA
otu_1811,NA,NA,NA,NA,NA,NA,NA
otu_1812,NA,NA,NA,NA,NA,NA,NA
otu_1813,NA,NA,NA,NA,NA,NA,NA
otu_1814,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,unidentified,soil_saprotroph
otu_1815,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,unidentified,arbuscular_mycorrhizal
otu_1816,NA,NA,NA,NA,NA,NA,NA
otu_1817,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,unidentified,unidentified,NA
otu_1818,NA,NA,NA,NA,NA,NA,NA
otu_1819,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Bimuria,Bimuria_novae-zelandiae,soil_saprotroph
otu_1820,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_polychromum,NA
otu_1821,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1822,NA,NA,NA,NA,NA,NA,NA
otu_1823,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1824,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA
