sv_num,otu_ID,class,order,family,genus,taxon,accession
sv_517,cb761fcc2ebac74170c27472009d55f5,Glomeromycetes, Diversisporales, Diversisporaceae, Diversispora,NA,NA
sv_518,d4fcb9c006ab7fdb935380315077dff3,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus, Claroideoglomus ORVIN GLO4, VTX00278
sv_519,9a339bf730da9556ef3ac374b24b98f7,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus,NA,NA
sv_520,57bc4d5526c670661272c4fc3e17c535,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp., VTX00304
sv_521,dbe662d0de9d0a31a6c0793a5c2806a0,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_522,7bad16eb4561253a9cf7257482e7aef1,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Wirsel OTU6, VTX00202
sv_523,97af57a7c1c0866ea2f64f1aec87bad7,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Wirsel OTU6, VTX00202
sv_524,00f77a458f301c6eeea6a02243721da4,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_525,c0fe075c838635c40bfd2f65280ad177,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus, Claroideoglomus Glo59, VTX00276
sv_526,a60385d79dc72c1c94ad6d886b3304e3,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_527,8d8d1f88c5390cd8545e71bf5210e195,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_528,295c1409b9b069c52c16e3dd9f45a371,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Wirsel OTU6, VTX00202
sv_529,50ca642f13169240a16a7c81051da891,Archaeosporomycetes, Archaeosporales, Archaeosporaceae, Archaeospora, Archaeospora Other1, VTX00005
sv_530,d6a260fe3b473f90a3907d0624a5ad78,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Wirsel OTU12, VTX00188
sv_531,b71c59b0f8ccfb2ca5064a9a98909d54,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_532,8c1184414d49a2d7c91430ce11c7b8ce,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_533,d3fadd64cd04f7657447516ae3312abf,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_534,fd3a0fea0aeaaa48a9ca1361beb8c896,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp., VTX00315
sv_535,2725fcd325a3ac3b9a2d0a4c776ed1a1,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_536,bb9252014dd2018b1047f371baa09783,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_537,a664195713a1654dd9903b3daf5b8378,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_538,c8f3e6bc0803cfed90abe6efc6899a49,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_539,12c6a0ef881921e16ea408c11729cf91,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G22, VTX00125
sv_540,0d7a6e0bed053443f88157e2205d2545,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G22, VTX00125
sv_541,637426dae4ce069840f204fef6a13e8e,Paraglomeromycetes, Paraglomerales, Paraglomeraceae, Paraglomus,NA,NA
sv_542,da5d0538857423bd61763b3015d600a4,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp., VTX00177
sv_543,2bea53a011e43bd5664be6e6028e6cc0,Glomeromycetes, Diversisporales, Diversisporaceae, Diversispora,NA,NA
sv_544,41f0639dccd355d0add677ffe6a53c3c,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp., VTX00315
sv_545,3842fe10d4b7f681d15b3dd699c9b199,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G23, VTX00222
sv_546,fbcad76d6591014a578ff6506f4f531e,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp., VTX00315
sv_547,60d93784be6f5b072e5698de66e15c33,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp., VTX00177
sv_548,a182889effd913d9dd149a5384ec536f,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_549,046b34965e5c0a590d7aa822e2f89aaf,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_550,b8f0f9b1e9b1e776b3a0ed1124d1b6e3,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_551,d5055acfdfdbca2a0087a77c843fc286,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Glo8, VTX00175
sv_552,1029b3f79b6fbf2333eca0e1aa196017,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G23, VTX00222
sv_553,cb4c737656fd309bc0d3f10f7d6eaea7,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Whitfield type 17, VTX00195
sv_554,58a0d20829d16b04501206117b70d104,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Wirsel OTU16, VTX00156
sv_555,32df56c08b2bf1e0a3fb3ec9cad07580,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp., VTX00315
sv_556,c089ffcb1d5df2ec0297e69866d06129,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_557,24435da6fdb67ebdb6541e2de5498c1c,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_558,73107bb5b571fb18f178c542b046b83a,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_559,6b963e3baf15f167bcffffbe397aa4a5,Glomeromycetes, Diversisporales, Diversisporaceae, Diversispora,NA,NA
sv_560,f40cc92a2b2d29b4186fd1b1509e6205,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Wirsel OTU12, VTX00188
sv_561,f99046ba33e63e7ea1c928f3980336cf,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_562,0d4a21334e4253ae7a0035c5ded2c6ca,Glomeromycetes, Diversisporales, Diversisporaceae, Diversispora,NA,NA
sv_563,969e1f929283fff908f7251aee1033fc,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus, Claroideoglomus Douhan9, VTX00056
sv_564,cb89a9aa9fd13f89d38a5b4f8b78c037,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G8, VTX00130
sv_565,5cc851e7b1676e8d0e7c163d3cc9efc6,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Whitfield type 17, VTX00195
sv_566,039639f7a90a2a8b56e9259d1ed6ebdf,Glomeromycetes, Diversisporales, Diversisporaceae, Diversispora,NA,NA
sv_567,354412b49e9787ecc939c8569a33c3de,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_568,78e441587d5638396a2d30e39285228b,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G15, VTX00135
sv_569,9de1847da33717a323e6aaab99076b16,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Glo-D, VTX00103
sv_570,54fa83e334b628cbb4217faa91e9f54f,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp., VTX00315
sv_571,a829f30dce90a88682e3e994884d9a3d,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus, Claroideoglomus Glo58, VTX00225
sv_572,c14373ddec8e1b89058bad2897f1b849,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_573,1a29aced444d6f7a14a371ee64de987a,Glomeromycetes, Diversisporales, Diversisporaceae, Diversispora,NA,NA
sv_574,3279488255f1975097bf63e6b7122c82,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_575,31aefed8c8a558229ec22ba5e20d3338,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_576,2f6e501a3fe150ec413a4b5a036cc37e,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus,NA,NA
sv_577,0e53de1e4a94ec3617e700eac2e8fae5,Glomeromycetes, Diversisporales, Diversisporaceae, Diversispora,NA,NA
