sv_num,otu_ID,class,order,family,genus,taxon,accession
sv_667,4c2d7a917d40be7036e0297aff0ec0aa,Archaeosporomycetes, Archaeosporales, Archaeosporaceae, Archaeospora, Archaeospora Other1, VTX00005
sv_668,e4f0075a0c86489cd5a353f1b6bd8103,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Wirsel OTU12, VTX00188
sv_669,0cf8b06119c46d516529464b9d336512,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_670,74a6cc03a369194da1411427aa338b7d,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Glo3b, VTX00069
sv_671,8f08826d57c1bab0f8041117ab8ac8bb,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_672,ca1891a75c6a9e92295d82cf2eae53c7,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G23, VTX00222
sv_673,93cd698435f034309a6b5eb95e32b5e4,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G23, VTX00222
sv_674,113aecb2f7c50441e27e9ce2a40cd9a2,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_675,4ea264c2eb956083dcd03acc20f09b8f,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus ORVIN GLO1E, VTX00151
sv_676,37b84ef3895e7cd9eca88a01867fe764,Glomeromycetes, Diversisporales, Acaulosporaceae, Acaulospora, Acaulospora Acau2, VTX00030
