site_name,year,month,ppt_mm,tmin_C,tmax_C
BBRP1,2007,1,26.83099937438965,-9.418999671936035,-0.15199999511241913
BBRP1,2007,2,46.68600082397461,-14.972000122070312,-5.866000175476074
BBRP1,2007,3,49.51499938964844,-2.239000082015991,8.255000114440918
BBRP1,2007,4,151.66400146484375,1.1929999589920044,12.625
BBRP1,2007,5,41.832000732421875,9.659000396728516,23.288000106811523
BBRP1,2007,6,67.78800201416016,13.675000190734863,26.66200065612793
BBRP1,2007,7,53.005001068115234,14.95199966430664,28.292999267578125
BBRP1,2007,8,433.5270080566406,16.63800048828125,26.958999633789062
BBRP1,2007,9,59.165000915527344,10.720000267028809,24.003000259399414
BBRP1,2007,10,99.60600280761719,7.785999774932861,18.579999923706055
BBRP1,2007,11,7.9730000495910645,-3.446000099182129,6.626999855041504
BBRP1,2007,12,106.78800201416016,-11.050999641418457,-2.625
BBRP1,2008,1,55.59600067138672,-13.581000328063965,-3.069000005722046
BBRP1,2008,2,86.31099700927734,-14.968000411987305,-4.426000118255615
BBRP1,2008,3,54.625,-7.790999889373779,3.1449999809265137
BBRP1,2008,4,192.4340057373047,1.8849999904632568,13.595000267028809
BBRP1,2008,5,86.39900207519531,4.991000175476074,19.44300079345703
BBRP1,2008,6,227.95399475097656,13.529000282287598,25.26099967956543
BBRP1,2008,7,141.9239959716797,15.204000473022461,27.792999267578125
BBRP1,2008,8,28.225000381469727,13.347999572753906,27.038999557495117
BBRP1,2008,9,79.46800231933594,11.321000099182129,23.349000930786133
BBRP1,2008,10,66.59600067138672,3.7249999046325684,14.899999618530273
BBRP1,2008,11,33.51499938964844,-1.7009999752044678,6.968999862670898
BBRP1,2008,12,93.660003662109375,-14.668999671936035,-2.8929998874664307
BBRP1,2009,1,21.645000457763672,-18.106000900268555,-7.054999828338623
BBRP1,2009,2,43.387001037597656,-10.420000076293945,0.5419999957084656
BBRP1,2009,3,116.87100219726562,-4.984000205993652,6.644000053405762
BBRP1,2009,4,97.1989974975586,0.7409999966621399,13.4399995803833
BBRP1,2009,5,81,7.824999809265137,20.08799934387207
BBRP1,2009,6,103.1969985961914,13.590999603271484,25.094999313354492
BBRP1,2009,7,85.56099700927734,12.675999641418457,23.863000869750977
BBRP1,2009,8,85.06500244140625,13.798999786376953,25.132999420166016
BBRP1,2009,9,51.22700119018555,9.751999855041504,23.86199951171875
BBRP1,2009,10,132.89300537109375,2.750999927520752,11.475000381469727
BBRP1,2009,11,27.25,-0.29600000381469727,10.321000099182129
BBRP1,2009,12,92.15799713134766,-9.7089996337890625,-1.8930000066757202
BBRP1,2010,1,31.958999633789062,-12.642999649047852,-4.23199987411499
BBRP1,2010,2,32.00400161743164,-10.199999809265137,-0.7860000133514404
BBRP1,2010,3,31.743999481201172,-3.2360000610351562,9.64900016784668
BBRP1,2010,4,110.51499938964844,3.882999897003174,17.88599967956543
BBRP1,2010,5,101.46099853515625,9.390000343322754,21.82900047302246
BBRP1,2010,6,206.77200317382812,14.536999702453613,25.847999572753906
BBRP1,2010,7,190.1699981689453,17.79599952697754,28.676000595092773
BBRP1,2010,8,107.56099700927734,17.280000686645508,28.327999114990234
BBRP1,2010,9,99.14600372314453,10.133000373840332,22.030000686645508
BBRP1,2010,10,50.40700149536133,3.38700008392334,18.920000076293945
BBRP1,2010,11,32.941001892089844,-2.1410000324249268,8.767000198364258
BBRP1,2010,12,49.90399932861328,-12.348999977111816,-3.614000082015991
BBRP1,2011,1,21.84000015258789,-13.355999946594238,-4.236000061035156
BBRP1,2011,2,58.99300003051758,-10.354000091552734,-1.2580000162124634
BBRP1,2011,3,79.339996337890625,-5.076000213623047,4.73799991607666
BBRP1,2011,4,105.67500305175781,1.7120000123977661,11.854000091552734
BBRP1,2011,5,78.1729965209961,7.0980000495910645,19.798999786376953
BBRP1,2011,6,124.0979995727539,13.970000267028809,25.597000122070312
BBRP1,2011,7,71.802001953125,18.06999969482422,30.44700050354004
BBRP1,2011,8,84.68199920654297,14.79800033569336,27.944000244140625
BBRP1,2011,9,90.43000030517578,9.04699993133545,21.125999450683594
BBRP1,2011,10,37.97700119018555,3.865000009536743,17.541000366210938
BBRP1,2011,11,97.6719970703125,-1.215000033378601,8.692999839782715
BBRP1,2011,12,60.91299819946289,-5.982999801635742,3.0209999084472656
BBRP1,2012,1,31.283000946044922,-9.5839996337890625,0.4490000009536743
BBRP1,2012,2,23.43000030517578,-6.283999919891357,2.996999979019165
BBRP1,2012,3,72.40599822998047,3.618000030517578,15.392000198364258
BBRP1,2012,4,75.61499786376953,1.6629999876022339,14.692000389099121
BBRP1,2012,5,67.29100036621094,9.682000160217285,24.131000518798828
BBRP1,2012,6,11.317000389099121,13.862000465393066,28.239999771118164
BBRP1,2012,7,91.20600128173828,18.663999557495117,32.96099853515625
BBRP1,2012,8,52.71900177001953,13.904000282287598,27.790000915527344
BBRP1,2012,9,31.69700050354004,7.998000144958496,23.582000732421875
BBRP1,2012,10,119.56300354003906,2.3589999675750732,15.121000289916992
BBRP1,2012,11,23.900999069213867,-2.9779999256134033,8.11400032043457
BBRP1,2012,12,76.5780029296875,-6.085000038146973,2.2939999103546143
BBRP1,2013,1,83.3489990234375,-11.63700008392334,-1.2339999675750732
BBRP1,2013,2,58.707000732421875,-11.746999740600586,-2.0290000438690186
BBRP1,2013,3,61.97800064086914,-8.001999855041504,1.4620000123977661
BBRP1,2013,4,156.93099975585938,0.33899998664855957,10.928000450134277
BBRP1,2013,5,124.74400329589844,8.067000389099121,21.360000610351562
BBRP1,2013,6,254.9290008544922,13.657999992370605,25.027999877929688
BBRP1,2013,7,109.84300231933594,15.357000350952148,27.613000869750977
BBRP1,2013,8,57.27199935913086,14.553999900817871,27.496999740600586
BBRP1,2013,9,73.77100372314453,10.48799991607666,24.656999588012695
