otu_num,phylum,class,order,family,genus,species,taxon,taxon_level,trophic_mode,guild,confidence,primary_lifestyle
otu_640,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,unidentified,Tetracladium,13,Saprotroph,Undefined Saprotroph,Probable,NA
otu_641,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NA
otu_642,Ascomycota,Dothideomycetes,Acrospermales,Acrospermales_fam_Incertae_sedis,Leptodiscella,NA,Leptodiscella,13,Saprotroph,Undefined Saprotroph,Probable,NA
otu_643,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,unidentified,Entoloma,13,Pathotroph-Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Soil Saprotroph-Undefined Saprotroph,Possible,soil_saprotroph
otu_644,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_exigua,Mortierella,13,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Probable,soil_saprotroph
otu_645,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,unidentified,Paraglomus,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_646,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,NA,NA,Mycosphaerellaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph,Probable,NA
otu_647,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium_flavoviride,Metarhizium,13,Pathotroph,Animal Pathogen,Probable,animal_parasite
otu_648,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,NA,Tetracladium,13,Saprotroph,Undefined Saprotroph,Probable,NA
otu_649,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Microdominikia,unidentified,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_650,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NA
otu_651,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,NA,NA,Clavariaceae,9,Saprotroph-Symbiotroph,Lichenized-Undefined Saprotroph,Probable,NA
otu_652,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,Leucosporidium_golubevii,Leucosporidium,13,Saprotroph,Soil Saprotroph-Undefined Saprotroph,Probable,NA
otu_653,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA,Archaeosporales,7,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NA
otu_654,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Hypochnicium,Hypochnicium_multiforme,Hypochnicium,13,Saprotroph,Undefined Saprotroph,Probable,wood_saprotroph
otu_655,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,NA,Hygrocybe,13,Saprotroph-Symbiotroph,Undefined Saprotroph-Undefined Symbiotroph,Probable,soil_saprotroph
otu_656,Ascomycota,Sordariomycetes,Trichosphaeriales,Trichosphaeriaceae,Nigrospora,NA,Nigrospora,13,Saprotroph,Undefined Saprotroph,Probable,NA
otu_657,Ascomycota,Dothideomycetes,Minutisphaerales,Minutisphaeraceae,Minutisphaera,Minutisphaera_japonica,Minutisphaera,13,Saprotroph,Undefined Saprotroph,Probable,wood_saprotroph
otu_658,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Waitea,Waitea_circinata,Waitea,13,Pathotroph,Plant Pathogen,Probable,NA
otu_659,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA,Mortierella,13,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Probable,soil_saprotroph
otu_660,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,unidentified,Ceratocystis,13,Pathotroph-Saprotroph,Plant Pathogen-Wood Saprotroph,Probable,plant_pathogen
otu_661,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,NA,Talaromyces,13,Saprotroph,Undefined Saprotroph,Probable,unspecified_saprotroph
otu_662,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,unidentified,Clavaria,13,Saprotroph,Undefined Saprotroph,Probable,soil_saprotroph
otu_663,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Arbusculina,Arbusculina_fragmentans,Arbusculina,13,Saprotroph,Undefined Saprotroph,Probable,wood_saprotroph
otu_664,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Arrhenia,NA,Arrhenia,13,Saprotroph,Undefined Saprotroph,Probable,NA
otu_665,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercophora,Cercophora_coronata,Cercophora,13,Saprotroph,Dung Saprotroph,Highly Probable,dung_saprotroph
otu_666,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,NA,Serendipita,13,Symbiotroph,Orchid Mycorrhizal,Highly Probable,root_endophyte
otu_667,Basidiomycota,Agaricomycetes,Polyporales,Meripilaceae,Rigidoporus,Rigidoporus_piceicola,Rigidoporus,13,Saprotroph,Wood Saprotroph,Highly Probable,wood_saprotroph
otu_668,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Sigarispora,NA,Lophiostomataceae,9,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph,Probable,litter_saprotroph
otu_669,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pseudombrophila,unidentified,Pseudombrophila,13,Saprotroph,Dung Saprotroph-Undefined Saprotroph,Highly Probable,NA
otu_670,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,NA,NA,Ceratobasidiaceae,9,Pathotroph-Saprotroph-Symbiotroph,Endomycorrhizal-Plant Pathogen-Undefined Saprotroph,Possible,NA
otu_671,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,Cyphellophora_gamsii,Cyphellophora,13,Pathotroph-Saprotroph,Animal Pathogen-Undefined Saprotroph,Probable,litter_saprotroph
otu_672,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,Funneliformis_mosseae,Funneliformis,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_673,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NA
otu_674,Glomeromycota,unidentified,unidentified,unidentified,unidentified,unidentified,Glomeromycota,3,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NA
otu_675,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium_carneum,Metarhizium,13,Pathotroph,Animal Pathogen,Probable,animal_parasite
otu_676,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,Paraphoma_chlamydocopiosa,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Probable,plant_pathogen
otu_677,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Probable,NA
otu_678,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Aphanoascus,Aphanoascus_keratinophilus,Aphanoascus,13,Saprotroph,Undefined Saprotroph,Probable,soil_saprotroph
otu_679,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,NA,NA,Tubeufiaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Undefined Saprotroph,Probable,NA
otu_680,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,NA,NA,Tubeufiaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Undefined Saprotroph,Probable,NA
otu_681,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA,Mortierella,13,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Probable,soil_saprotroph
otu_682,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,NA,Talaromyces,13,Saprotroph,Undefined Saprotroph,Probable,unspecified_saprotroph
otu_683,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Arthrinium,Arthrinium_malaysianum,Arthrinium,13,Saprotroph,Undefined Saprotroph,Probable,NA
otu_684,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,Ochroconis_bacilliformis,Ochroconis,13,Saprotroph,Undefined Saprotroph,Probable,animal_parasite
