otu_num,phylum,class,order,family,genus,species,taxon,taxon_level,trophic_mode,guild,confidence,primary_lifestyle
otu_1,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,unidentified,Scutellinia,13,Saprotroph,Undefined Saprotroph,Probable,wood_saprotroph
otu_2,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,NA,NA,Ceratobasidiaceae,9,Pathotroph-Saprotroph-Symbiotroph,Endomycorrhizal-Plant Pathogen-Undefined Saprotroph,Possible,NA
otu_3,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,NA,NA,Clavariaceae,9,Saprotroph-Symbiotroph,Lichenized-Undefined Saprotroph,Probable,NA
otu_4,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Wojnowiciella,NA,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Probable,litter_saprotroph
otu_5,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,unidentified,Ochroconis,13,Saprotroph,Undefined Saprotroph,Probable,animal_parasite
otu_6,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,NA,NA,Tricholomataceae,9,Pathotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite,Probable,NA
otu_7,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys_phyllophila,Clonostachys,13,Pathotroph,Plant Pathogen,Probable,wood_saprotroph
otu_8,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,NA
otu_9,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,Diversispora,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_10,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,unidentified,Septoglomus,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_11,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Chlorociboria,unidentified,Helotiaceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Probable,NA
otu_12,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,Paraphoma_chlamydocopiosa,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Probable,plant_pathogen
otu_13,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,Parathyridaria,NA,Thyridariaceae,9,Saprotroph,Wood Saprotroph,Probable,litter_saprotroph
otu_14,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hymenogaster,Hymenogaster_griseus,Hymenogaster,13,Symbiotroph,Ectomycorrhizal,Possible,ectomycorrhizal
otu_15,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chaetosphaeria,unidentified,Chaetosphaeriaceae,9,Saprotroph,Plant Saprotroph-Wood Saprotroph,Probable,litter_saprotroph
otu_16,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,Mycena_strobilinoidea,Mycena,13,Pathotroph-Saprotroph,Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph,Probable,NA
otu_17,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,unidentified,Coniochaeta,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph,Possible,unspecified_saprotroph
otu_18,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA,Helotiaceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Probable,NA
otu_19,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Possible,NA
otu_20,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,unidentified,Psathyrella,13,Saprotroph,Wood Saprotroph,Probable,wood_saprotroph
otu_21,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,NA,Tomentella,13,Symbiotroph,Ectomycorrhizal,Highly Probable,ectomycorrhizal
otu_22,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NA
otu_23,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta,Neoascochyta_argentina,Didymellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph,Possible,plant_pathogen
otu_24,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,NA,NA,Mycosphaerellaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph,Probable,NA
otu_25,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,NA,NA,Mycosphaerellaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph,Probable,NA
otu_26,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,NA,NA,Sporormiaceae,9,Saprotroph,Dung Saprotroph-Plant Saprotroph,Probable,NA
otu_27,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,NA,NA,Lasiosphaeriaceae,9,Saprotroph,Undefined Saprotroph,Probable,NA
otu_28,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,NA
otu_29,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metapochonia,Metapochonia_suchlasporia,Clavicipitaceae,9,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Fungal Parasite-Insect Parasite,Possible,animal_parasite
otu_30,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_ambigua,Mortierella,13,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Probable,soil_saprotroph
otu_31,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Bjerkandera,unidentified,Bjerkandera,13,Saprotroph,Wood Saprotroph,Highly Probable,wood_saprotroph
otu_32,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metapochonia,NA,Clavicipitaceae,9,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Fungal Parasite-Insect Parasite,Possible,animal_parasite
otu_33,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,NA,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_34,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,Paraphoma_chlamydocopiosa,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Probable,plant_pathogen
otu_35,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe_helianthi,Diaporthe,13,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Possible,plant_pathogen
otu_36,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_polyphialidicum,Fusarium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph,Possible,plant_pathogen
otu_37,Ascomycota,Sordariomycetes,Diaporthales,Gnomoniaceae,NA,NA,Gnomoniaceae,9,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Undefined Saprotroph,Probable,NA
otu_38,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Cephalotrichum,NA,Microascaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Plant Pathogen-Undefined Saprotroph,Possible,soil_saprotroph
otu_39,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,unidentified,Ochroconis,13,Saprotroph,Undefined Saprotroph,Probable,animal_parasite
otu_40,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,NA,Psathyrella,13,Saprotroph,Wood Saprotroph,Probable,wood_saprotroph
otu_41,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,unidentified,Diversispora,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_42,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,NA,Cyphellophora,13,Pathotroph-Saprotroph,Animal Pathogen-Undefined Saprotroph,Probable,litter_saprotroph
otu_43,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,Xylodon_borealis,Xylodon,13,Saprotroph,Undefined Saprotroph,Probable,wood_saprotroph
otu_44,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,Conocybe_moseri,Conocybe,13,Saprotroph,Undefined Saprotroph,Probable,soil_saprotroph
otu_45,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,unidentified,unidentified,Pezizaceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph,Possible,NA
otu_46,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_concentricum,Fusarium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph,Possible,plant_pathogen
otu_47,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Paracremonium,NA,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Possible,animal_parasite
otu_48,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Apiosordaria,unidentified,Apiosordaria,13,Saprotroph,Dung Saprotroph-Undefined Saprotroph,Highly Probable,dung_saprotroph
otu_49,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Plenodomus,unidentified,Plenodomus,13,Saprotroph,Undefined Saprotroph,Probable,plant_pathogen
otu_50,Ascomycota,Dothideomycetes,Acrospermales,Acrospermales_fam_Incertae_sedis,Leptodiscella,Leptodiscella_africana,Leptodiscella,13,Saprotroph,Undefined Saprotroph,Probable,NA
otu_51,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Trichopezizella,unidentified,Trichopezizella,13,Saprotroph,Undefined Saprotroph,Probable,NA
otu_52,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,NA,Rhizopogon,13,Symbiotroph,Ectomycorrhizal,Highly Probable,ectomycorrhizal
otu_53,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Phialophora,Phialophora_hyalina,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Probable,litter_saprotroph
otu_54,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariales_fam_Incertae_sedis,Oliveonia,NA,Oliveonia,13,Saprotroph,Undefined Saprotroph,Probable,NA
otu_55,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,NA,NA,Pleosporaceae,9,Pathotroph-Saprotroph,Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph,Probable,NA
otu_56,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hymenochaete,NA,Hymenochaete,13,Saprotroph,Undefined Saprotroph,Probable,wood_saprotroph
otu_57,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_rutilum,Acremonium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Possible,NA
otu_58,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Monosporascus,NA,Monosporascus,13,Pathotroph,Plant Pathogen,Probable,plant_pathogen
otu_59,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,Septoglomus_viscosum,Septoglomus,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_60,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Stictis,unidentified,Stictis,13,Symbiotroph,Lichenized,Highly Probable,lichenized
otu_61,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,unidentified,unidentified,Pyronemataceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph,Possible,NA
otu_62,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,NA,NA,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Probable,NA
otu_63,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Mariannaea,NA,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Possible,wood_saprotroph
otu_64,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA,Helotiaceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Probable,NA
otu_65,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,unidentified,Trechispora,13,Saprotroph,Wood Saprotroph,Highly Probable,wood_saprotroph
otu_66,Basidiomycota,Agaricomycetes,Agaricales,Nidulariaceae,Cyathus,Cyathus_stercoreus,Cyathus,13,Saprotroph,Undefined Saprotroph,Probable,litter_saprotroph
otu_67,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Disciseda,unidentified,Disciseda,13,Saprotroph,Soil Saprotroph,Probable,NA
otu_68,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_fam_Incertae_sedis,Strelitziana,Strelitziana_albiziae,Strelitziana,13,Pathotroph,Plant Pathogen,Probable,NA
otu_69,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Periconia_homothallica,Periconia,13,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Wood Saprotroph,Possible,plant_pathogen
otu_70,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Probable,NA
otu_71,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Monocillium,Monocillium_mucidum,Monocillium,13,Saprotroph,Undefined Saprotroph,Probable,litter_saprotroph
otu_72,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,Fusicolla_aquaeductuum,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Possible,mycoparasite
otu_73,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Didymosphaeria,unidentified,Didymosphaeria,13,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph,Probable,plant_pathogen
otu_74,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_stuposa,Tomentella,13,Symbiotroph,Ectomycorrhizal,Highly Probable,ectomycorrhizal
otu_75,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,Pseudocoleophoma,NA,Dictyosporiaceae,9,Saprotroph,Undefined Saprotroph,Probable,plant_pathogen
otu_76,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Monocillium,Monocillium_griseo-ochraceum,Monocillium,13,Saprotroph,Undefined Saprotroph,Probable,litter_saprotroph
otu_77,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,unidentified,Clitopilus,13,Saprotroph,Undefined Saprotroph,Probable,litter_saprotroph
otu_78,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,Rhizophagus,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_79,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,Schizothecium_inaequale,Schizothecium,13,Saprotroph,Dung Saprotroph,Highly Probable,dung_saprotroph
otu_80,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Possible,NA
otu_81,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,NA,NA,Coniochaetaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph,Possible,NA
otu_82,Glomeromycota,unidentified,unidentified,unidentified,unidentified,unidentified,Glomeromycota,3,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NA
otu_83,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Minimelanolocus,NA,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Probable,wood_saprotroph
otu_84,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,NA,NA,Plectosphaerellaceae,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Possible,NA
otu_85,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis_rugosobispora,Psathyrellaceae,9,Saprotroph,Dung Saprotroph-Plant Saprotroph-Wood Saprotroph,Probable,soil_saprotroph
otu_86,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Neopseudolachnella,NA,Chaetosphaeriaceae,9,Saprotroph,Plant Saprotroph-Wood Saprotroph,Probable,litter_saprotroph
otu_87,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ophiosphaerella,unidentified,Ophiosphaerella,13,Saprotroph,Undefined Saprotroph,Probable,plant_pathogen
otu_88,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Cistella,unidentified,Cistella,13,Saprotroph,Undefined Saprotroph,Probable,NA
otu_89,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Probable,NA
otu_90,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_sanvitalense,Entoloma,13,Pathotroph-Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Soil Saprotroph-Undefined Saprotroph,Possible,soil_saprotroph
otu_91,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,Dictyosporium,Dictyosporium_heptasporum,Dictyosporium,13,Saprotroph,Undefined Saprotroph,Probable,litter_saprotroph
otu_92,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_compressum,Glomus,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_93,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Dermoloma,NA,Tricholomataceae,9,Pathotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite,Probable,soil_saprotroph
otu_94,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,Agaricales,7,Pathotroph-Saprotroph-Symbiotroph,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph,Possible,NA
otu_95,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,Rhizophagus,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_96,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Dactylonectria,NA,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Possible,plant_pathogen
otu_97,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Paracylindrocarpon,Paracylindrocarpon_aloicola,Bionectriaceae,9,Pathotroph-Saprotroph,Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph,Probable,litter_saprotroph
otu_98,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Heydenia,unidentified,Pyronemataceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph,Possible,NA
otu_99,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,Paraphoma_radicina,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Probable,plant_pathogen
otu_100,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,NA,Oidiodendron,13,Pathotroph-Symbiotroph,Ericoid Mycorrhizal,Probable,NA
otu_101,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodosporidiobolus,NA,Sporidiobolaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Undefined Saprotroph,Probable,unspecified_saprotroph
otu_102,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Probable,NA
otu_103,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis_lagopides,Psathyrellaceae,9,Saprotroph,Dung Saprotroph-Plant Saprotroph-Wood Saprotroph,Probable,soil_saprotroph
otu_104,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Clathrosphaerina,Clathrosphaerina_zalewskii,Clathrosphaerina,13,Saprotroph,Undefined Saprotroph,Probable,litter_saprotroph
otu_105,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,unidentified,unidentified,Melanommataceae,9,Saprotroph,Wood Saprotroph,Probable,NA
otu_106,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Probable,NA
otu_107,Ascomycota,Dothideomycetes,Acrospermales,Acrospermales_fam_Incertae_sedis,Leptodiscella,Leptodiscella_africana,Leptodiscella,13,Saprotroph,Undefined Saprotroph,Probable,NA
otu_108,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Jansia,unidentified,Phallaceae,9,Saprotroph,Litter Saprotroph-Soil Saprotroph-Wood Saprotroph,Probable,soil_saprotroph
otu_109,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Chordomyces,Chordomyces_antarcticus,Plectosphaerellaceae,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Possible,soil_saprotroph
otu_110,Basidiomycota,Agaricomycetes,Auriculariales,Hyaloriaceae,Myxarium,NA,Myxarium,13,Saprotroph,Undefined Saprotroph,Probable,wood_saprotroph
otu_111,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NA
otu_112,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Bolbitius,Bolbitius_titubans,Bolbitius,13,Saprotroph,Dung Saprotroph-Leaf Saprotroph,Probable,dung_saprotroph
otu_113,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,Plectosphaerella_cucumerina,Plectosphaerella,13,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Probable,plant_pathogen
otu_114,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,NA,Plectosphaerella,13,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Probable,plant_pathogen
otu_115,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_cavaraeanum,Acremonium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Possible,NA
otu_116,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Probable,NA
otu_117,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,NA,NA,Xylariaceae,9,Pathotroph-Saprotroph-Symbiotroph,Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph,Probable,NA
otu_118,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,Oidiodendron_maius,Oidiodendron,13,Pathotroph-Symbiotroph,Ericoid Mycorrhizal,Probable,NA
otu_119,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,NA,NA,Mycosphaerellaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph,Probable,NA
otu_120,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,unidentified,Ochroconis,13,Saprotroph,Undefined Saprotroph,Probable,animal_parasite
otu_121,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,NA,NA,Lasiosphaeriaceae,9,Saprotroph,Undefined Saprotroph,Probable,NA
otu_122,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Volutella,Volutella_consors,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Possible,plant_pathogen
otu_123,Ascomycota,Dothideomycetes,Minutisphaerales,Minutisphaeraceae,Minutisphaera,unidentified,Minutisphaera,13,Saprotroph,Undefined Saprotroph,Probable,wood_saprotroph
otu_124,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,NA,NA,Didymosphaeriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph,Probable,NA
otu_125,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,NA,NA,Clavariaceae,9,Saprotroph-Symbiotroph,Lichenized-Undefined Saprotroph,Probable,NA
otu_126,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Arthrocladium,NA,Trichomeriaceae,9,Symbiotroph,Epiphyte,Probable,soil_saprotroph
otu_127,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Helicomyces,Helicomyces_roseus,Helicomyces,13,Saprotroph,Undefined Saprotroph,Probable,wood_saprotroph
