field_key,otu_1,otu_2,otu_3,otu_4,otu_5,otu_6,otu_7,otu_8,otu_9,otu_10,otu_11,otu_12,otu_13,otu_14,otu_15,otu_16,otu_17,otu_18,otu_19,otu_20,otu_21,otu_22,otu_23,otu_24,otu_25,otu_26,otu_27,otu_28,otu_29,otu_30,otu_31,otu_32,otu_33,otu_34,otu_35,otu_36,otu_37,otu_38,otu_39,otu_40,otu_41,otu_42,otu_43,otu_44,otu_45,otu_46,otu_47,otu_48,otu_49,otu_50,otu_51,otu_52,otu_53,otu_54,otu_55,otu_56,otu_57,otu_58,otu_59,otu_60,otu_61,otu_62,otu_63,otu_64,otu_65,otu_66,otu_67,otu_68,otu_69,otu_70,otu_71,otu_72,otu_73,otu_74,otu_75,otu_76,otu_77,otu_78,otu_79,otu_80,otu_81,otu_82,otu_83,otu_84,otu_85,otu_86,otu_87,otu_88,otu_89,otu_90,otu_91,otu_92,otu_93,otu_94,otu_95,otu_96,otu_97,otu_98,otu_99,otu_100,otu_101,otu_102,otu_103,otu_104,otu_105,otu_107,otu_108,otu_109,otu_110,otu_111,otu_112,otu_113,otu_114,otu_115,otu_116,otu_117,otu_118,otu_119,otu_120,otu_122,otu_123,otu_124,otu_125,otu_126,otu_127,otu_129,otu_130,otu_131,otu_132,otu_133,otu_134,otu_135,otu_136,otu_137,otu_139,otu_140,otu_141,otu_142,otu_143,otu_145,otu_146,otu_147,otu_149,otu_151,otu_152
16,5,0,838,813,1288,437,3298,17,232,4,0,97,2225,0,4,102,1278,0,0,816,342,504,0,0,0,12,0,0,498,0,1106,0,478,0,67,0,0,918,0,0,86,49,32,0,438,0,516,0,8,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
17,1800,873,274,552,1473,357,2220,0,419,728,0,1388,116,0,405,337,947,634,0,105,180,0,236,570,196,0,0,643,574,89,0,26,0,0,181,0,191,43,0,0,0,99,0,359,28,0,0,0,0,0,0,0,0,45,0,0,0,22,0,0,160,0,0,0,0,0,0,0,0,0,0,11,0,67,0,60,0,23,11,0,0,0,0,0,0,0,0,0,0,8,64,0,0,0,29,0,0,39,0,0,0,19,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1289,222,58,848,699,1235,2381,211,1491,19,0,1423,155,0,741,704,1124,298,0,72,117,0,40,233,455,75,0,0,590,203,0,353,197,0,343,0,0,330,0,0,0,0,0,484,48,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
19,2286,570,1944,124,378,677,1608,9,1028,755,0,1738,161,0,1194,259,795,311,0,52,0,0,120,343,73,173,0,0,354,0,0,0,88,0,295,0,0,87,0,0,12,52,0,42,39,0,0,0,0,9,0,0,96,0,0,0,0,0,0,0,154,0,55,0,156,29,0,0,0,0,0,0,0,52,0,34,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,22,109,134,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
20,557,1248,265,0,1864,475,952,2593,0,88,268,0,0,0,791,0,197,0,0,0,0,0,623,385,191,0,0,930,165,64,0,0,0,527,0,0,261,142,0,0,0,0,0,0,0,0,0,843,186,2,0,0,0,0,0,0,0,36,0,0,254,888,0,0,0,0,0,13,0,346,0,0,0,92,0,97,321,0,0,0,0,0,0,48,95,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,147,0,9,0,0,0,0,0,0,0,0,13,0,0,0,44,0,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,5,0,0,0,0,0
21,1306,751,686,0,1349,268,982,1484,803,770,253,201,50,0,439,318,382,0,0,43,0,275,1068,749,65,0,0,2048,211,286,0,0,6,154,142,0,0,117,0,0,0,314,0,0,29,0,0,129,0,0,0,0,0,49,21,0,0,0,0,0,175,3,84,75,0,0,0,0,0,0,0,0,0,68,0,53,0,22,0,0,0,0,0,254,0,0,0,0,0,9,0,20,0,0,0,0,0,9,0,0,0,0,0,0,12,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,6,0,11,0,0,0,0,0,0,0,0,0
22,1611,714,92,309,1463,181,1551,424,1573,518,6,1973,239,327,0,165,860,336,123,122,359,280,0,434,172,646,0,0,422,136,57,35,15,58,0,31,0,112,36,8,0,291,0,209,70,82,172,0,0,5,0,114,0,0,0,0,7,0,32,16,0,0,0,0,0,5,0,0,0,0,0,43,0,0,8,0,0,0,0,11,0,0,0,0,0,0,17,88,0,0,0,3,0,0,0,0,0,0,15,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
23,1264,347,50,1681,1628,1031,993,0,1668,588,0,859,516,0,0,50,536,345,86,375,191,35,0,254,270,1573,0,0,283,42,240,3,53,0,70,126,0,189,133,0,0,270,0,19,137,0,251,30,0,15,8,171,0,0,0,0,0,0,29,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,9,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,42,0,11,0,0,0,0,17,0,0,0,0,0,0,0,0,11,9,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
24,0,56,0,1161,1366,421,3094,10,299,73,0,91,2591,0,11,0,1384,21,33,788,1719,51,0,57,19,1233,0,4,579,0,0,30,117,0,26,0,0,182,3,0,85,13,0,0,571,0,287,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,18,0,5,0,0,0,0,0,125,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1412,1003,209,418,546,505,1071,0,1720,2243,0,1250,204,0,550,388,635,648,68,95,395,340,0,8,581,0,0,0,335,194,0,31,137,0,183,0,0,105,0,0,0,0,0,7,51,0,710,0,0,0,249,105,36,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,116,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
