otu_num,otu_ID,phylum,class,order,family,genus,species,primary_lifestyle
otu_1427,ad731f7c6bd698391ad87bfc38f02732,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,Kamienskia_perpusilla,arbuscular_mycorrhizal
otu_1428,c16056a1480637e028153bcc2bab6859,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,NA,wood_saprotroph
otu_1429,fe3432c6ab1365c4b72bc6e6e49322ba,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,Dictyosporium,Dictyosporium_stellatum,litter_saprotroph
otu_1430,ae25034cff7f9d542a460bab2f7abb0c,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,Rhizophlyctis_rosea,litter_saprotroph
otu_1431,0bed53db386a8982cfc6c0236b9780c4,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Monocillium,Monocillium_griseo-ochraceum,litter_saprotroph
otu_1432,82242c349982d5ba784d2773234a20db,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Heterocephalacria,unidentified,lichen_parasite
otu_1433,d777bcad9b016683119315f9ac37cc49,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,NA
otu_1434,eb704181c5be4cb4330cb102c4287a2b,Basidiomycota,Agaricomycetes,Sebacinales,NA,NA,NA,NA
otu_1435,2ec7ae672b293eea4e90e0e2163454df,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1436,2eb53209ccf4cace83357cfef188a4dd,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,NA,NA,NA
otu_1437,6236a65ac269f4ecb0a7dacb8b2ea86a,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,NA
otu_1438,1451b7cd0159a8f06e3fccefa2c08626,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,NA
otu_1439,e3b1cf0b424bdd9545ec7edf0400b724,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,unidentified,unidentified,NA
otu_1440,e051dca399515dea5b2e3f8f50b4de8a,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,Xylodon_hastifer,wood_saprotroph
otu_1441,3180ae0f472b074d38af2b57e02ed6ee,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1442,7c66044ad96b711a1e5719ca2831be8a,NA,NA,NA,NA,NA,NA,NA
otu_1443,6df9894cf487e78ff9bb552b45ca5666,Mortierellomycota,Mortierellomycetes,Mortierellales,NA,NA,NA,NA
otu_1444,0fe6e990d70dcd836965da707cfe895c,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodosporidiobolus,NA,unspecified_saprotroph
otu_1445,34f0ca1ff00e9db219e121dfeb85b32e,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Operculomyces,Operculomyces_laminatus,NA
otu_1446,57896e8aa12c978197c0513190f2688e,NA,NA,NA,NA,NA,NA,NA
otu_1447,22ec5bf9c215a4ed4586f3c6d7a8c40a,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Bolbitius,Bolbitius_titubans,dung_saprotroph
otu_1448,9985a97dfac79c5ff326c42e588f0911,Basidiobolomycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,Basidiobolus,Basidiobolus_ranarum,unspecified_saprotroph
otu_1449,fd3d6e55111eef83848ed6792df5c95a,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Helicosporium,unidentified,wood_saprotroph
otu_1450,9ebc2e0a15296e46d6e67434c77d199b,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_persica,dung_saprotroph
otu_1451,bd3e5968e2570386cc285035057717d1,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,unidentified,arbuscular_mycorrhizal
otu_1452,e9e64c18f0aade73afd87415f02e0d99,NA,NA,NA,NA,NA,NA,NA
otu_1453,dbc441c12d03f072f0977dbc2f09d95c,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,NA,NA,NA
otu_1454,da5792919f6d7dc2d07eefcdea46f32a,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Macrocystidia,Macrocystidia_cucumis,NA
otu_1455,ae33c3136811b4970b69007279042c1b,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA,NA
otu_1456,90610c575b1b6bb4790442a21f4b17e8,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Camarophyllopsis,NA,soil_saprotroph
otu_1457,753bca24595eabe6e3fc3d0ffcc0e830,Ascomycota,Sordariomycetes,NA,NA,NA,NA,NA
otu_1458,00fd9255bab43a09d46265517043a2a4,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys_phyllophila,wood_saprotroph
otu_1459,e04fac15d17de76ca4f494db1093a4fd,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,NA,NA,NA
otu_1460,d2970a02f14c35ccb9682ac3e93dbb83,Ascomycota,Leotiomycetes,NA,NA,NA,NA,NA
otu_1461,9776874034cb5a77d69339f7b7534d18,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1462,974a85d8dbcff1915bdf12b2e9936c51,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,unidentified,animal_parasite
otu_1463,4e377d31ad2abf83bb211baf437d0415,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophaeosphaeria,Setophaeosphaeria_badalingensis,NA
otu_1464,efbd8fa4c404dc04ca3da2e9180b946a,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,NA,NA,NA
otu_1465,462b0752d06f7b4a3ad24a7b9bea2bf1,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Cistella,unidentified,NA
otu_1466,bfb2287dbb1c007fd844adbe5b5b5644,Ascomycota,Sordariomycetes,Xylariales,NA,NA,NA,NA
otu_1467,1c9887dd5f542ba9713170a5ace31982,Ascomycota,Saccharomycetes,Saccharomycetales,NA,NA,NA,NA
otu_1468,cc62a2e9815c72edb23f7e6817017c9c,Ascomycota,Sordariomycetes,NA,NA,NA,NA,NA
otu_1469,6ff4fd41b9233d619ac223d67bbf99d3,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,NA,NA,NA
otu_1470,8f2b3fc8c154f682026b232b7b0652bb,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,unidentified,unidentified,NA
otu_1471,3c4b710b07521fb0e461c0908865020e,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,NA,NA,NA
otu_1472,c13b8199659153f6ae2dec470643fd03,Ascomycota,Geoglossomycetes,Geoglossales,Geoglossaceae,Trichoglossum,Trichoglossum_walteri,soil_saprotroph
otu_1473,2d7caa7f4874c3d7cd21d9a95a8b3d15,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,NA
otu_1474,da2c474a304b4351a80c9fcfaffa33f2,Ascomycota,Sordariomycetes,NA,NA,NA,NA,NA
otu_1475,4cbf4b49913fa9ac2f14b64155a593eb,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1476,fa81ea84b6e6137e19a40c0dc99cc81f,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales_fam_Incertae_sedis,unidentified,unidentified,NA
otu_1477,b40e8205e4827d7b8e5f1b33ed874a55,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Microdochium,NA,plant_pathogen
otu_1478,63a6b4e65a120a1de63d4b52ac277b87,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,NA,soil_saprotroph
otu_1479,4d14130fa2f6ce6fcb7c3c69a29be104,Basidiomycota,Microbotryomycetes,Sporidiobolales,unidentified,unidentified,unidentified,NA
otu_1480,48a2fb542220cdbe558b86a1db047880,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Myrothecium,unidentified,litter_saprotroph
otu_1481,9b48fc250c1efe5c22ab2aebf48f34de,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1482,2eda6a90824a4c76b695ae90fbf3450c,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA,NA
otu_1483,8642773162fd3f6b28b844be3ddc4708,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA
otu_1484,b3a4d3e7f70cfb5f8d5ddcd741ff327d,Ascomycota,Sordariomycetes,Sordariales,unidentified,unidentified,unidentified,NA
otu_1485,f5c124c91f8eb0dfc2b11a383dede3f1,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Mirandina,unidentified,NA
otu_1486,2f66362cfd1ce2fcf628c6916f739e4d,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA,NA
otu_1487,e2c5d282a41a24257fb3ac5a16c36cb4,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA,NA
otu_1488,d042ef64ce4dffb38add2a3a3d79f912,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,NA,NA,NA
otu_1489,295654cf9f7c41f8aa05b187a32a2cd0,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,Septoglomus_viscosum,arbuscular_mycorrhizal
otu_1490,f765d0b8b4601e97616caa20a4b73e0f,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,NA,soil_saprotroph
otu_1491,67b4fc605986ea2fe558b042cbfb10d2,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,NA,NA,NA
otu_1492,382388f7ba153940ff47604b02ba317c,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,unidentified,unidentified,NA
otu_1493,166a0842f0d988a26672cdff5502c1ae,Ascomycota,Leotiomycetes,Helotiales,Vibrisseaceae,Phialocephala,Phialocephala_humicola,NA
