field_key,wsa
1,62.99070606
2,62.19424876
3,52.17152144
4,63.59084215
5,71.44676706
6,52.71259621
7,60.10462555
8,73.92947718
9,79.54311822
10,81.23580191
11,78.70455804
12,76.58788942
13,73.37635853
14,76.42141286
15,78.27566912
16,53.09405941
17,39.75730595
18,47.15719064
19,44.54409926
20,43.14599586
21,49.7934579
22,64.18709773
23,75.02275013
24,51.17541099
25,68.00552246
26,58.18152169
27,83.94442782
