site_key,samples
1,10
2,9
3,10
4,10
5,10
6,10
7,10
8,9
9,8
10,10
11,10
12,9
13,9
14,9
15,10
16,10
17,10
18,10
19,10
20,9
21,10
22,10
23,10
24,10
25,10
