#OTU ID	taxonomy	Confidence
7282e08d22cc5f100a9235c50cb9a0bb	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified	0.99607631
a32489a643034c61994e4deecef54b02	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	0.999999896
889f58776169593834b7d5d55f56b4d1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.994623747
312422176c332e8a55f3740c842a140f	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta;s__unidentified	0.989966253
2dc4006fec89337e676bbd957a811959	k__Fungi;p__Ascomycota	0.999999999
a37f77c748473d8cdf08b7fd1e671ef0	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_minutissima	0.997001576
75368490c1c6bd2eecc2ae2d8f54ea72	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0.974891091
078f76d494fc1054a5f019c791759c7d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_concentricum	0.991379888
88ea937779270a660f6af2da76598cd1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora;s__Podospora_intestinacea	0.999751936
7acee3845097b4ecd7785914c1f95b1b	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium	0.999622689
fb22bafda8cce907a1749ad76b00db8e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae	0.996996661
96c259dac677cc0dc4355cc74f68dfcb	k__Fungi;p__Ascomycota;c__Geoglossomycetes;o__Geoglossales;f__Geoglossaceae;g__Geoglossum;s__unidentified	0.99958317
5e3f4d1b6e99198f7bffa0c83bb91a97	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__unidentified;s__unidentified	0.965437964
46de6f2ba39da28173bd2f2d9aeb4a38	k__Fungi;p__Ascomycota;c__Geoglossomycetes;o__Geoglossales;f__Geoglossaceae;g__Trichoglossum;s__unidentified	0.988834613
66007a27535b5d20d2c41d8d7cd5142d	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium;s__unidentified	0.995343131
e6ab1b534f83c83d840a4234fbec95ec	k__Fungi;p__Basidiomycota	0.953065812
b31a0ff287c5e55f3c66786570abfbc0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0.989721899
a1b34de666d1cd4edd15cb46ca8ba3f9	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia;s__Periconia_neobrittanica	0.999991621
c3d64576b333be067c723406fa872dad	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified	0.997997227
dc9698883801567e2b414184f2735fbe	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe	0.999985938
11b04432bc7ea68e8f033a640534dca5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Bolbitius;s__Bolbitius_titubans	0.974890207
120bf4639bb0696da0f93e6f26acf039	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified	0.996620914
30a6633eabcd8e09e2859276eb7aa319	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraphoma	0.949916974
db446a98fd0bdea8f9ef0ccd309b5cfc	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	0.999999992
0f942b1ef44136f882d90eaaade19c8f	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Heydenia;s__unidentified	0.966367498
f9e29ecff1841b4e49a5a02187201b7b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Phallales;f__Phallaceae;g__Phallus;s__Phallus_rugulosus	0.999999999
dff81bfdbc1a3c19f1e01c5ecbdaaa01	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.999914
e62d4516c6665707bd0a7b63a89f9772	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.999998974
674bd643957a07c32e9eb3ca09694779	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium	0.940156655
d7a9a110d2e745357d1f8284dc3a950b	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella;s__Gibberella_baccata	0.963447835
7bf66a46783dcfa23a7f8cf08db3666d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe	0.99998894
40d517263e163e1cc9d04d97724bc4f8	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.999829969
26f048ff9327a6e384b34823b45c0ea9	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraphoma	0.999975753
