envvar,dbRDA1,dbRDA2
yr_since,-0.9758182794417182,0.18362115505845575
plant1,-0.8950315779361913,0.3687775073604414
OM,-0.24671981196145193,-0.781572652770055
K,-0.8086803653770993,-0.4337443689955009
