family,corn,restored,remnant
Glomeraceae,996.9,925.2,1006.7
Claroideoglomeraceae,44.4,142.3,107.8
Paraglomeraceae,85.1,62.1,27.6
Diversisporaceae,54.1,28.1,19.9
Acaulosporaceae,0,1.9,4.9
Gigasporaceae,1,7.6,3.8
Archaeosporaceae,0,10.5,3.1
Ambisporaceae,0,0,0.1
